,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,key,scale,key_strength,zero_crossing_rate,f0
0,StarWars.mp3,StarWars.mp3_f0,StarWars.mp3,0,25088,0.0013011613366555195,-726.39014,84.42131,-47.878227,0.51325226,-16.182722,-15.174473,-17.49314,-16.764374,-12.563166,-2.2147198,-9.893961,-3.7568302,-1.0214577,3,0,0.7570403814315796,0.07537467777729034,468.87015
1,StarWars.mp3,StarWars.mp3_f1,StarWars.mp3,25088,50176,0.002196885037178896,-687.9585,129.3556,-17.878117,19.50785,-1.3213196,-5.362652,-7.267744,-2.9944286,-8.462265,-3.6049309,-5.2679768,-6.1455746,-6.626438,10,1,0.7327045798301697,0.05771683529019356,180.77315
2,StarWars.mp3,StarWars.mp3_f2,StarWars.mp3,50176,75776,0.001370404213666916,-721.6883,101.032295,-28.532017,7.4713306,-4.0072803,-0.48251724,-11.510178,-1.7273102,-1.4419861,2.373087,-4.2510376,-6.8513107,-9.168516,10,0,0.8241140842437744,0.0778515636920929,702.5131
3,StarWars.mp3,StarWars.mp3_f3,StarWars.mp3,75776,101888,0.0020907680485762804,-695.7617,120.40857,-19.413345,21.755243,0.34161377,4.8239307,-8.380066,-5.72073,-3.5589905,2.7444706,-7.974436,-9.77033,-10.883657,10,0,0.8054001927375793,0.06652113795280457,706.5828
4,StarWars.mp3,StarWars.mp3_f4,StarWars.mp3,101888,128000,0.0011863572632565217,-741.1553,102.54135,-33.7221,13.257011,-5.9295883,3.03084,1.5712967,-2.2738953,4.087433,-2.3180351,-6.951166,-1.8205471,-5.810173,10,0,0.790262758731842,0.07869944721460342,0.0
5,StarWars.mp3,StarWars.mp3_f5,StarWars.mp3,128000,153088,0.0015870534947940282,-723.2693,97.29289,-29.84013,1.9931812,-5.2359962,-4.6084976,-1.0226593,-3.9975662,-0.8749256,-0.49913788,-9.436892,-3.0579834,-6.455187,10,0,0.831247866153717,0.083984375,937.7442
6,StarWars.mp3,StarWars.mp3_f6,StarWars.mp3,153088,178688,0.0023382222652435303,-670.86786,111.90953,-15.908854,15.34861,-2.909937,-1.066988,-2.8760662,2.1342545,-0.94013405,-5.1215496,-9.769369,-12.879391,-7.133192,10,1,0.8567011952400208,0.07675781100988388,937.7442
7,StarWars.mp3,StarWars.mp3_f7,StarWars.mp3,178688,204288,0.002249361425638199,-677.5751,114.4809,-13.360867,17.55759,-5.3937225,-3.6170654,-0.404253,-4.5070724,3.6192646,-0.947031,-6.4357834,-6.665331,-2.0320606,10,1,0.8694759011268616,0.06714843958616257,702.5131
8,StarWars.mp3,StarWars.mp3_f8,StarWars.mp3,204288,229888,0.0016551373898983002,-718.0419,114.09378,-21.85037,9.495544,1.1138611,-3.2005615,3.2005768,-9.595486,2.1591225,-8.073105,-3.9998665,-1.5801716,-5.849039,10,0,0.9383432865142822,0.07804687321186066,468.87015
9,StarWars.mp3,StarWars.mp3_f9,StarWars.mp3,229888,256000,0.0017016683431232676,-713.54236,92.99693,-20.85159,12.788824,-4.2368965,-1.795311,-0.5918884,-7.70932,-0.07698822,-5.2368717,-8.267399,-1.9197483,-8.311586,10,1,0.820722222328186,0.09053308516740799,937.7442
