,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,key,scale,key_strength,zero_crossing_rate,f0
0,115591,115591_f0,files/115591_1015240-hq.ogg,0,25088,0.0033246747085026334,-731.48914,-54.32285,5.227661,67.99108,-26.435879,24.503866,-9.674547,17.566803,-15.090132,9.040024,-5.4691715,2.4577675,-8.771339,0,0,0.4833900034427643,0.10303730517625809,0.0
1,115591,115591_f1,files/115591_1015240-hq.ogg,25088,50176,0.005536937591980914,-620.85376,43.180622,-34.844627,96.65286,-10.130661,13.425894,-18.537935,14.182896,-14.203045,-0.06972122,-15.470999,-5.086895,-15.287912,0,1,0.6479572653770447,0.15170599520206451,1154.4999
2,115591,115591_f2,files/115591_1015240-hq.ogg,50176,75776,0.0018648757040500641,-812.9814,145.02928,-66.712906,69.7139,37.5433,17.498291,13.666435,4.7126083,15.047474,19.995121,-1.5995979,19.014826,3.1565475,3,1,0.7473734021186829,0.031562499701976776,75.13235
3,115591,115591_f3,files/115591_1015240-hq.ogg,75776,101888,0.00015877055771210615,-1117.5045,92.750305,26.325481,38.148827,48.328545,34.212315,11.003452,16.841396,17.880295,19.036268,8.921379,12.494942,10.5732765,3,1,0.5351573824882507,0.017041973769664764,74.69962
4,115591,115591_f4,files/115591_1015240-hq.ogg,101888,128000,0.0002282502531420951,-1120.5356,164.45258,76.8586,1.6691589,-31.061565,-34.690193,-31.663269,-26.75753,-15.1955185,0.82278824,13.50145,19.297771,19.539314,9,1,0.7745078206062317,0.00390625,0.0
5,115591,115591_f5,files/115591_1015240-hq.ogg,128000,153088,0.0,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05,9,1,-1.0,0.0,0.0
6,115591,115591_f6,files/115591_1015240-hq.ogg,153088,178688,0.00209213063120842,-783.8017,-61.203148,27.402922,34.78179,-14.5481415,17.801638,15.762152,22.125391,-2.934492,5.867239,-5.3688183,0.5757313,-5.031872,1,0,0.4190385937690735,0.22328124940395355,1195.2135
7,115591,115591_f7,files/115591_1015240-hq.ogg,178688,204288,0.005206572413444519,-602.71967,28.150183,-2.888073,55.467476,8.99889,3.2577915,11.93556,16.546188,1.0443993,-4.666485,-13.257164,-7.286669,-10.466322,0,0,0.6060381531715393,0.14558593928813934,0.0
8,115591,115591_f8,files/115591_1015240-hq.ogg,204288,229888,0.0035096415877342224,-789.47253,143.05202,-47.404503,38.90152,47.32003,14.819429,37.19496,10.941574,27.298107,16.822424,0.70728683,13.787861,9.408989,7,1,0.49475687742233276,0.018085937947034836,76.445656
9,115591,115591_f9,files/115591_1015240-hq.ogg,229888,256000,0.0005100278877744488,-1130.3129,111.04312,16.304375,41.433792,78.46165,49.505577,25.77858,29.718777,24.383545,16.526089,15.650368,12.0960655,10.500473,3,1,0.7996001243591309,0.004595588427037001,76.445656
10,115591,115591_f10,files/115591_1015240-hq.ogg,256000,281600,4.1745835915207865e-06,-1253.815,15.632584,15.4515915,15.152679,14.739346,14.217072,13.592102,12.87257,12.067425,11.186703,10.241356,9.243137,8.204323,3,1,0.6879665851593018,0.004023437388241291,0.0
11,115591,115591_f11,files/115591_1015240-hq.ogg,281600,307712,0.0,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05,9,1,-1.0,0.0,0.0
12,115591,115591_f12,files/115591_1015240-hq.ogg,307712,334336,0.002801534648124988,-722.3235,-73.39107,27.209063,33.736923,-3.4578,18.258728,9.234619,25.175426,-5.81773,5.4989223,-8.212036,3.277052,-5.6290436,1,1,0.48517003655433655,0.25893929600715637,1147.8505
13,115591,115591_f13,files/115591_1015240-hq.ogg,334336,360960,0.004893275980766003,-619.7556,53.20055,-11.972067,52.256195,15.692554,11.376671,14.215679,17.623749,9.135904,-1.9062805,-8.688232,-4.752962,-7.005165,6,1,0.6212025284767151,0.09949669241905212,0.0
